#    L    TT             EE             TE             PP             TP          
     2    0.11304E+04    0.54881E-01    0.33998E+01    0.10135E+07    0.32044E+05
     3    0.10521E+04    0.88313E-01    0.42507E+01    0.15599E+07    0.38012E+05
     4    0.97945E+03    0.97755E-01    0.43582E+01    0.20438E+07    0.40757E+05
     5    0.92349E+03    0.85339E-01    0.40269E+01    0.24702E+07    0.41794E+05
     6    0.88281E+03    0.62030E-01    0.34917E+01    0.28459E+07    0.41889E+05
     7    0.85448E+03    0.38882E-01    0.29010E+01    0.31784E+07    0.41466E+05
     8    0.83527E+03    0.22214E-01    0.23452E+01    0.34739E+07    0.40712E+05
     9    0.82305E+03    0.13102E-01    0.18703E+01    0.37377E+07    0.39725E+05
    10    0.81625E+03    0.94193E-02    0.15011E+01    0.39734E+07    0.38604E+05
    11    0.81330E+03    0.82926E-02    0.12456E+01    0.41855E+07    0.37473E+05
    12    0.81431E+03    0.77399E-02    0.11012E+01    0.43758E+07    0.36393E+05
    13    0.81748E+03    0.69109E-02    0.10436E+01    0.45465E+07    0.35368E+05
    14    0.82190E+03    0.60053E-02    0.10439E+01    0.47004E+07    0.34389E+05
    15    0.82780E+03    0.53140E-02    0.10831E+01    0.48391E+07    0.33426E+05
    16    0.83558E+03    0.50432E-02    0.11455E+01    0.49640E+07    0.32456E+05
    17    0.84513E+03    0.51886E-02    0.12160E+01    0.50766E+07    0.31503E+05
    18    0.85551E+03    0.55084E-02    0.12830E+01    0.51783E+07    0.30599E+05
    19    0.86754E+03    0.58698E-02    0.13411E+01    0.52696E+07    0.29735E+05
    20    0.87953E+03    0.62505E-02    0.13853E+01    0.53513E+07    0.28899E+05
    21    0.89185E+03    0.66954E-02    0.14218E+01    0.54244E+07    0.28083E+05
    22    0.90474E+03    0.73363E-02    0.14569E+01    0.54899E+07    0.27287E+05
    23    0.91803E+03    0.82281E-02    0.14922E+01    0.55484E+07    0.26519E+05
    24    0.93177E+03    0.93665E-02    0.15283E+01    0.56002E+07    0.25787E+05
    25    0.94590E+03    0.10761E-01    0.15671E+01    0.56460E+07    0.25090E+05
    26    0.96023E+03    0.12379E-01    0.16112E+01    0.56863E+07    0.24426E+05
    27    0.97499E+03    0.14178E-01    0.16577E+01    0.57215E+07    0.23789E+05
    28    0.99004E+03    0.16144E-01    0.17038E+01    0.57521E+07    0.23175E+05
    29    0.10054E+04    0.18288E-01    0.17475E+01    0.57781E+07    0.22588E+05
    30    0.10211E+04    0.20624E-01    0.17856E+01    0.57997E+07    0.22031E+05
    31    0.10368E+04    0.23139E-01    0.18159E+01    0.58173E+07    0.21499E+05
    32    0.10529E+04    0.25807E-01    0.18361E+01    0.58315E+07    0.20986E+05
    33    0.10694E+04    0.28638E-01    0.18435E+01    0.58426E+07    0.20485E+05
    34    0.10861E+04    0.31662E-01    0.18372E+01    0.58506E+07    0.19994E+05
    35    0.11030E+04    0.34901E-01    0.18217E+01    0.58559E+07    0.19513E+05
    36    0.11199E+04    0.38375E-01    0.17997E+01    0.58585E+07    0.19047E+05
    37    0.11370E+04    0.42077E-01    0.17673E+01    0.58587E+07    0.18603E+05
    38    0.11545E+04    0.46004E-01    0.17224E+01    0.58566E+07    0.18187E+05
    39    0.11723E+04    0.50166E-01    0.16670E+01    0.58525E+07    0.17795E+05
    40    0.11903E+04    0.54586E-01    0.16041E+01    0.58463E+07    0.17418E+05
    41    0.12085E+04    0.59283E-01    0.15354E+01    0.58382E+07    0.17048E+05
    42    0.12268E+04    0.64259E-01    0.14592E+01    0.58283E+07    0.16686E+05
    43    0.12451E+04    0.69510E-01    0.13726E+01    0.58168E+07    0.16332E+05
    44    0.12635E+04    0.75017E-01    0.12736E+01    0.58037E+07    0.15989E+05
    45    0.12822E+04    0.80772E-01    0.11603E+01    0.57893E+07    0.15658E+05
    46    0.13012E+04    0.86771E-01    0.10298E+01    0.57735E+07    0.15340E+05
    47    0.13203E+04    0.93017E-01    0.88364E+00    0.57565E+07    0.15033E+05
    48    0.13395E+04    0.99521E-01    0.72763E+00    0.57385E+07    0.14735E+05
    49    0.13589E+04    0.10627E+00    0.56679E+00    0.57193E+07    0.14444E+05
    50    0.13787E+04    0.11325E+00    0.39941E+00    0.56993E+07    0.14157E+05
    51    0.13987E+04    0.12044E+00    0.22195E+00    0.56783E+07    0.13873E+05
    52    0.14190E+04    0.12791E+00    0.29183E-01    0.56565E+07    0.13594E+05
    53    0.14394E+04    0.13581E+00   -0.18268E+00    0.56340E+07    0.13322E+05
    54    0.14597E+04    0.14413E+00   -0.40945E+00    0.56107E+07    0.13061E+05
    55    0.14801E+04    0.15284E+00   -0.64685E+00    0.55868E+07    0.12812E+05
    56    0.15009E+04    0.16179E+00   -0.89667E+00    0.55622E+07    0.12578E+05
    57    0.15220E+04    0.17088E+00   -0.11587E+01    0.55371E+07    0.12357E+05
    58    0.15433E+04    0.18012E+00   -0.14336E+01    0.55114E+07    0.12147E+05
    59    0.15649E+04    0.18955E+00   -0.17219E+01    0.54852E+07    0.11945E+05
    60    0.15865E+04    0.19922E+00   -0.20228E+01    0.54585E+07    0.11747E+05
    61    0.16087E+04    0.20924E+00   -0.23353E+01    0.54314E+07    0.11553E+05
    62    0.16307E+04    0.21959E+00   -0.26604E+01    0.54039E+07    0.11361E+05
    63    0.16529E+04    0.23023E+00   -0.29992E+01    0.53760E+07    0.11170E+05
    64    0.16754E+04    0.24116E+00   -0.33530E+01    0.53478E+07    0.10982E+05
